exchange,market,time,kind,gate,split,entry,gross_180,gross_300,gross_460,gross_600,gross_900,gross_1200,gross_1800,mfe600,mae600
binance,SIGNUSDT,2026-08-19T11:49:06.874000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.00722,0.41551246537396835,0.5540166204986097,-0.6925207756232621,-1.1080332409972304,-1.3850415512465464,-2.3545706371191133,-3.7396121883656597,0.969529085872578,-1.5235457063711877
binance,MUBARAKUSDT,2026-08-19T11:49:44.127000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.01906,0.0,-0.41972717733473885,-0.2623294858342118,0.2623294858342007,-2.2035676810073457,-2.098635886673672,-1.5215110178384172,0.5246589716684014,-0.891920251836309
binance,ESPUSDT,2026-08-19T11:50:18.247000+00:00,SINGLE_GATE_FAIL,buy_pressure_not_confirmed,train,0.07832,-0.7277834525025506,-0.4596527068437162,-0.6511746680285979,-0.4468845760980611,-1.1618998978549455,-0.4596527068437162,-0.561797752808979,0.0,-0.8426966292134797
binance,ZROUSDT,2026-08-19T11:50:18.247000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.844,-0.9478672985781977,-1.0663507109004766,-1.4218009478673022,-1.54028436018957,-1.7772511848341277,-1.54028436018957,-1.0663507109004766,0.0,-1.7772511848341277
binance,SIGNUSDT,2026-08-19T11:52:07.625000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.00726,-0.4132231404958664,-1.1019283746556474,-1.6528925619834767,-2.066115702479343,-3.1680440771349905,-3.581267217630857,-3.7190082644628086,0.4132231404958553,-2.066115702479343
binance,ESPUSDT,2026-08-19T11:52:43.631000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.07813,-0.21758607449123835,-0.4095737872776173,-0.20478689363881974,-0.20478689363881974,-0.7423524894406897,-0.34557788301549097,-0.19198771278640114,0.012799180852418601,-0.6015615000639962
binance,HEIUSDT,2026-08-19T11:54:32.680000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.1425,-0.280701754385948,0.9122807017543977,1.6140350877193121,4.421052631578948,4.561403508771944,1.6842105263157992,0.49122807017545345,3.157894736842115,-0.5614035087719293
binance,HEMIUSDT,2026-08-19T11:55:56.777000+00:00,SINGLE_GATE_FAIL,extreme_24h_range,train,0.0091,-0.3296703296703396,0.0,-0.7692307692307776,-2.0879120879121027,1.8681318681318615,3.8461538461538325,5.604395604395607,1.758241758241752,-1.978021978021971
binance,SIGNUSDT,2026-08-19T11:55:56.777000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.00726,-1.377410468319562,-1.5151515151515138,-2.3415977961432466,-2.066115702479343,-3.1680440771349905,-4.545454545454541,-4.820936639118456,0.13774104683195176,-2.617079889807161
binance,REUSDT,2026-08-19T11:55:56.777000+00:00,SINGLE_GATE_FAIL,m1_band_width_not_expanding,train,0.4217,-0.30827602561063205,0.5691249703580592,1.4228124258951924,1.0196822385582172,0.9959686981266369,0.9248280768318518,0.9248280768318518,1.565093668484696,-0.5216978894949098
