exchange,split,cost_model,arm_bps,effective_arm_bps,n,mean,median,win_rate,p05,p95,loss_mean,baseline_mean,delta_mean,arm_rate,stop_rate
binance_futures,train,fee_only,50,50.0,42,-0.12836010272011375,0.0,0.11904761904761904,-2.9233203962534504,1.5825251631939328,-2.571634927061464,-0.2589014450264261,0.13054134230631234,0.8333333333333334,0.7142857142857143
binance_futures,train,fee_only,60,60.0,42,-0.12969827079704857,0.0,0.16666666666666666,-2.9233203962534504,1.5825251631939328,-2.411852746609245,-0.2589014450264261,0.12920317422937755,0.8095238095238095,0.6428571428571429
binance_futures,train,fee_only,75,75.0,42,-0.18267254045856715,0.0,0.16666666666666666,-2.9233203962534504,1.5825251631939328,-1.956340118059795,-0.2589014450264261,0.07622890456785897,0.7380952380952381,0.5714285714285714
binance_futures,train,fee_only,100,100.0,42,-0.2847215604465317,0.0,0.21428571428571427,-2.9282364616660392,1.5825251631939328,-2.0154827608922115,-0.2589014450264261,-0.02582011542010553,0.6428571428571429,0.47619047619047616
binance_futures,validation,empirical_exec,10,52.692899999999995,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,15,52.692899999999995,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,20,52.692899999999995,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,25,52.692899999999995,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,30,52.692899999999995,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,40,52.692899999999995,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,50,52.692899999999995,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,60,60.0,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,75,75.0,3,-0.8294958949747016,-1.0552142740479793,0.0,-1.3954674971933108,-0.10552142740479803,-1.2442438424620523,-1.0271896116230046,0.19769371664830304,0.3333333333333333,0.3333333333333333
binance_futures,validation,empirical_exec,100,100.0,3,-1.0271896116230046,-1.0552142740479793,0.0,-1.3954674971933108,-0.6392944623552161,-1.0271896116230046,-1.0271896116230046,0.0,0.0,0.0
binance_futures,validation,fee_only,10,30.000000000000004,3,-0.40211480362537505,0.0,0.0,-1.0857099697885126,0.0,-1.2063444108761252,-0.8002606116230045,0.3981458079976295,0.6666666666666666,0.6666666666666666
