cohort_role,position_id,symbol,signal_completed_at,decision_at,entry_request_at,entry_request_time_status,entry_fill_at,db_entry_at,entry_db_lag_ms,first_native_stop_submitted_at,first_native_stop_ack_at,fill_to_first_stop_ack_ms,last_observation_detected_at,last_quote_received_at,last_exchange_book_at,exit_trigger_or_close_at,exit_fill_at,settlement_at,settlement_time_status,final_native_actual_order_id,final_native_client_id,final_native_status
FIXED_210,236a2b45-5174-4859-ab16-7f1126b2b60a,VTHOUSDT,2026-09-10T11:35:00.000Z,2026-09-10T11:36:03.228Z,,NOT_EXPORTED,2026-09-10T11:36:04.040Z,2026-09-10T11:36:04.522Z,482,2026-09-10T11:37:03.182Z,2026-09-10T11:37:03.917Z,59877,2026-09-10T11:44:04.262Z,2026-09-10T11:44:04.151Z,2026-09-10T11:44:03.508Z,2026-09-10T11:44:41.919Z,2026-09-10T11:44:41.919Z,,NOT_EXPORTED,706738572,tb-v17s-5c43d27b81142ef5ed7ef45143c,FINISHED
FIXED_210,f259a83b-0ebb-4a02-ba3e-25baf435d424,ORDERUSDT,2026-09-10T13:30:00.000Z,2026-09-10T13:31:02.966Z,,NOT_EXPORTED,2026-09-10T13:31:03.816Z,2026-09-10T13:31:04.280Z,464,2026-09-10T13:31:06.054Z,2026-09-10T13:31:06.650Z,2834,2026-09-10T14:03:02.668Z,2026-09-10T14:03:02.557Z,2026-09-10T14:03:01.863Z,2026-09-10T14:03:48.916Z,2026-09-10T14:03:48.916Z,,NOT_EXPORTED,604574766,tb-v17s-a161c6cb7e02281adcf1838587a,FINISHED
FIXED_210,92daa401-9ad3-4544-bb53-d7412b033e78,VETUSDT,2026-09-10T14:00:00.000Z,2026-09-10T14:01:08.075Z,,NOT_EXPORTED,2026-09-10T14:01:08.661Z,2026-09-10T14:01:09.136Z,475,2026-09-10T14:01:11.040Z,2026-09-10T14:01:11.630Z,2969,2026-09-10T14:15:03.340Z,2026-09-10T14:15:03.227Z,2026-09-10T14:15:02.736Z,2026-09-10T14:15:07.190Z,2026-09-10T14:15:07.190Z,,NOT_EXPORTED,22466564080,tb-v17s-21d54170aa98cc22aa4595f45d3,FINISHED
FIXED_210,a589a8b4-f047-413d-9a36-eb103772a3f8,METUSDT,2026-09-10T14:15:00.000Z,2026-09-10T14:16:06.445Z,,NOT_EXPORTED,2026-09-10T14:16:07.249Z,2026-09-10T14:16:07.708Z,459,2026-09-10T14:16:09.446Z,2026-09-10T14:16:10.018Z,2769,2026-09-10T15:10:05.360Z,2026-09-10T15:10:05.248Z,2026-09-10T15:10:04.995Z,2026-09-10T15:10:07.403Z,2026-09-10T15:10:07.403Z,,NOT_EXPORTED,,tb-v17s-6b6ea9197a27a977c21e236b9fd,CANCELED
FIXED_210,dafe22b7-278c-4ef0-9987-d35bc5ecf8da,ETHFIUSDT,2026-09-10T14:20:00.000Z,2026-09-10T14:21:05.756Z,,NOT_EXPORTED,2026-09-10T14:21:06.330Z,2026-09-10T14:21:06.805Z,475,2026-09-10T14:21:08.578Z,2026-09-10T14:21:09.184Z,2854,2026-09-10T14:41:04.160Z,2026-09-10T14:41:04.049Z,2026-09-10T14:41:03.880Z,2026-09-10T14:41:53.337Z,2026-09-10T14:41:53.337Z,,NOT_EXPORTED,7961983132,tb-v17s-e6eeb1fb3999e582667130704de,FINISHED
FIXED_210,f79233eb-3a7d-4aa8-bde9-88127658d573,VETUSDT,2026-09-10T14:45:00.000Z,2026-09-10T14:46:04.918Z,,NOT_EXPORTED,2026-09-10T14:46:05.541Z,2026-09-10T14:46:06.005Z,464,2026-09-10T14:46:07.728Z,2026-09-10T14:46:08.281Z,2740,2026-09-10T15:09:05.872Z,2026-09-10T15:09:05.761Z,2026-09-10T15:09:05.520Z,2026-09-10T15:09:38.948Z,2026-09-10T15:09:38.948Z,,NOT_EXPORTED,22467213678,tb-v17s-218cbd054388ca54ce94eb47b79,FINISHED
FIXED_210,d975988c-25de-434f-8384-2d55a6be8c33,牛来USDT,2026-09-10T15:15:00.000Z,2026-09-10T15:16:03.320Z,,NOT_EXPORTED,2026-09-10T15:16:04.116Z,2026-09-10T15:16:04.590Z,474,2026-09-10T15:16:06.422Z,2026-09-10T15:16:07.045Z,2929,2026-09-10T15:17:02.657Z,2026-09-10T15:17:02.544Z,2026-09-10T15:17:02.226Z,2026-09-10T15:17:41.716Z,2026-09-10T15:17:41.716Z,,NOT_EXPORTED,202596861,tb-v17s-3f401b821f278178db509fb5d14,FINISHED
FIXED_210,dd2c7aac-ac3f-43aa-9008-54ad94867521,SAGAUSDT,2026-09-10T15:45:00.000Z,2026-09-10T15:46:02.826Z,,NOT_EXPORTED,2026-09-10T15:46:03.649Z,2026-09-10T15:46:04.121Z,472,2026-09-10T15:46:06.110Z,2026-09-10T15:46:06.729Z,3080,2026-09-10T16:08:03.158Z,2026-09-10T16:08:03.043Z,2026-09-10T16:08:02.924Z,2026-09-10T16:08:26.712Z,2026-09-10T16:08:26.712Z,,NOT_EXPORTED,4879697982,tb-v17s-abfd261ceac046260b9a13d01e3,FINISHED
FIXED_210,9d21a501-0b4a-4230-826b-6ca2d37d66e8,TACUSDT,2026-09-10T15:55:00.000Z,2026-09-10T15:56:05.739Z,,NOT_EXPORTED,2026-09-10T15:56:06.629Z,2026-09-10T15:56:07.101Z,472,2026-09-10T15:56:09.386Z,2026-09-10T15:56:10.021Z,3392,2026-09-10T16:16:02.793Z,2026-09-10T16:16:02.681Z,2026-09-10T16:16:02.500Z,2026-09-10T16:16:02.599Z,2026-09-10T16:16:02.599Z,,NOT_EXPORTED,1179849258,tb-v17s-6b0c3ceca23c3fe3f3cb316ec87,FINISHED
FIXED_210,794da229-cdce-4d41-800d-578f92d03f56,SAGAUSDT,2026-09-10T16:10:00.000Z,2026-09-10T16:10:07.957Z,,NOT_EXPORTED,2026-09-10T16:10:08.551Z,2026-09-10T16:10:09.013Z,462,2026-09-10T16:10:10.742Z,2026-09-10T16:10:11.315Z,2764,2026-09-10T16:16:04.384Z,2026-09-10T16:16:04.273Z,2026-09-10T16:16:03.750Z,2026-09-10T18:20:13.061Z,2026-09-10T18:20:13.061Z,,NOT_EXPORTED,4882990988,tb-v17s-f0bec6ba65baf874cfbd3dbd14d,FINISHED
