market,ret24_pct,last_price,quote_volume_24h
FIGHTUSDT,0.173,0.003482,1481712
DOGEUSDT,0.176,0.09095,902096006
BULLAUSDT,0.23,0.017013,1358571
LUMIAUSDT,0.348,0.08946,2310843
ZAMAUSDT,0.415,0.0532,29892514
HBARUSDT,0.45,0.07809,42907605
UNIUSDT,0.459,4.155,157412080
PHAROSUSDT,0.467,0.4089,2147286
TAUSDT,0.479,0.0524,1260260
CHIPUSDT,0.54,0.02979,15601021
INJUSDT,0.618,4.888,33064000
ONTUSDT,0.654,0.04772,11946789
THETAUSDT,0.699,0.1873,4225643
GLMUSDT,0.718,0.10522,3876524
BROCCOLIF3BUSDT,0.757,0.00639,953200
GWEIUSDT,0.796,0.0228,6009438
SANTOSUSDT,0.881,0.5381,7680690
CRVUSDT,0.986,0.3278,48368809
EGLDUSDT,1.029,3.339,8251615
GALAUSDT,1.031,0.001959,29664227
CVXUSDT,1.118,2.081,9021724
CATIUSDT,1.12,0.05058,969747
LTCUSDT,1.191,51.82,82489060
STGUSDT,1.443,0.1617,3446071
XPLUSDT,1.446,0.09468,39768697
BABYUSDT,1.577,0.01224,6884659
SHELLUSDT,1.632,0.02304,7568153
PENDLEUSDT,1.72,1.6674,14307659
ETHFIUSDT,1.722,0.5906,28910783
JSTUSDT,1.781,0.10514,6516280
COMPUSDT,1.926,20.11,4604698
AAVEUSDT,1.928,124.26,202938155
COWUSDT,2.025,0.1159,6034540
GMXUSDT,2.075,7.378,1512283
AINUSDT,2.137,0.07359,773225
BLESSUSDT,2.223,0.009287,22836037
SPKUSDT,2.483,0.01775,5081551
XMRUSDT,2.625,437.03,64630594
EDGEUSDT,2.769,0.3637,3828439
HEMIUSDT,2.794,0.009822,44659301
PYTHUSDT,2.845,0.05134,15878951
BTRUSDT,2.95,0.03001,5924602
ZECUSDT,3.087,813.53,2089736330
IDOLUSDT,3.119,0.01653,1753006
BILLUSDT,3.21,0.02122,4898129
SAGAUSDT,3.219,0.01507,6660858
GRAMUSDT,3.262,1.488,15655702
HYPEUSDT,3.317,79.282,1073848245
CROSSUSDT,3.385,0.11577,10369991
PEOPLEUSDT,3.479,0.010439,20150563
FORMUSDT,3.517,0.2708,6796730
SIRENUSDT,3.626,0.02972,5450744
PROMUSDT,3.83,2.792,12972055
SPXUSDT,4.064,0.4532,9748867
BOMEUSDT,4.105,0.0012071,52555415
MORPHOUSDT,4.555,2.3572,11342756
TRBUSDT,4.823,19.299,30646333
龙虾USDT,4.891,0.023957,5578112
UAIUSDT,5.067,0.2509,8382787
AIOUSDT,5.094,0.04147,5557624
NEIROUSDT,5.341,9.21e-05,25293202
COLLECTUSDT,5.976,0.06171,3501085
USELESSUSDT,6.581,0.0677,16721652
COTIUSDT,6.611,0.011965,80982471
VVVUSDT,7.126,16.763,52032295
MONUSDT,7.956,0.02863,21197453
LITUSDT,8.623,3.3129,107059771
OGUSDT,9.151,2.958,14610395
ENAUSDT,9.84,0.16665,612141876
CYSUSDT,10.425,0.572,24623758
PORTALUSDT,10.763,0.01307,52704410
YBUSDT,13.271,0.09995,4793334
FFUSDT,14.255,0.0848,30392187
STXUSDT,14.738,0.2211,115237563
PUMPUSDT,18.18,0.00522,803603304
ZROUSDT,23.969,1.248,110115279
TUTUSDT,51.868,0.06096,462449672
